risk_tier,time_months,survival_probability,duration_source
Low,0,1.0,constructed_deterministic_not_observed
Low,1,1.0,constructed_deterministic_not_observed
Low,2,1.0,constructed_deterministic_not_observed
Low,3,1.0,constructed_deterministic_not_observed
Low,4,1.0,constructed_deterministic_not_observed
Low,5,1.0,constructed_deterministic_not_observed
Low,6,1.0,constructed_deterministic_not_observed
Low,7,1.0,constructed_deterministic_not_observed
Low,8,1.0,constructed_deterministic_not_observed
Low,9,1.0,constructed_deterministic_not_observed
Low,10,1.0,constructed_deterministic_not_observed
Low,11,1.0,constructed_deterministic_not_observed
Low,12,1.0,constructed_deterministic_not_observed
Low,13,1.0,constructed_deterministic_not_observed
Low,14,1.0,constructed_deterministic_not_observed
Low,15,1.0,constructed_deterministic_not_observed
Low,16,0.999096769286352,constructed_deterministic_not_observed
Low,17,0.999096769286352,constructed_deterministic_not_observed
Low,18,0.9988780923767322,constructed_deterministic_not_observed
Low,19,0.9988780923767322,constructed_deterministic_not_observed
Low,20,0.9947802772442895,constructed_deterministic_not_observed
Low,21,0.9947802772442895,constructed_deterministic_not_observed
Low,22,0.993620338854133,constructed_deterministic_not_observed
Low,23,0.985225047063074,constructed_deterministic_not_observed
Low,24,0.985225047063074,constructed_deterministic_not_observed
Medium,0,1.0,constructed_deterministic_not_observed
Medium,1,1.0,constructed_deterministic_not_observed
Medium,2,1.0,constructed_deterministic_not_observed
Medium,3,1.0,constructed_deterministic_not_observed
Medium,4,1.0,constructed_deterministic_not_observed
Medium,5,1.0,constructed_deterministic_not_observed
Medium,6,1.0,constructed_deterministic_not_observed
Medium,7,1.0,constructed_deterministic_not_observed
Medium,8,1.0,constructed_deterministic_not_observed
Medium,9,1.0,constructed_deterministic_not_observed
Medium,10,0.9998326303809344,constructed_deterministic_not_observed
Medium,11,0.9998326303809344,constructed_deterministic_not_observed
Medium,12,0.999230099752293,constructed_deterministic_not_observed
Medium,13,0.999230099752293,constructed_deterministic_not_observed
Medium,14,0.9912298319609023,constructed_deterministic_not_observed
Medium,15,0.9912298319609023,constructed_deterministic_not_observed
Medium,16,0.949655218584723,constructed_deterministic_not_observed
Medium,17,0.949655218584723,constructed_deterministic_not_observed
Medium,18,0.938608823726317,constructed_deterministic_not_observed
Medium,19,0.938608823726317,constructed_deterministic_not_observed
Medium,20,0.9208676441052427,constructed_deterministic_not_observed
Medium,21,0.9208676441052427,constructed_deterministic_not_observed
Medium,22,0.9102564102564104,constructed_deterministic_not_observed
Medium,23,0.9067416482560086,constructed_deterministic_not_observed
Medium,24,0.9067416482560086,constructed_deterministic_not_observed
High,0,1.0,constructed_deterministic_not_observed
High,1,0.980532512710729,constructed_deterministic_not_observed
High,2,0.9675541878512173,constructed_deterministic_not_observed
High,3,0.9675541878512173,constructed_deterministic_not_observed
High,4,0.9480198019801973,constructed_deterministic_not_observed
High,5,0.9480198019801973,constructed_deterministic_not_observed
High,6,0.9221969494246709,constructed_deterministic_not_observed
High,7,0.9221969494246709,constructed_deterministic_not_observed
High,8,0.8849344393898836,constructed_deterministic_not_observed
High,9,0.8849344393898836,constructed_deterministic_not_observed
High,10,0.8316162697350804,constructed_deterministic_not_observed
High,11,0.8316162697350804,constructed_deterministic_not_observed
High,12,0.7637811078405138,constructed_deterministic_not_observed
High,13,0.7637811078405138,constructed_deterministic_not_observed
High,14,0.6848407813754346,constructed_deterministic_not_observed
High,15,0.6848407813754346,constructed_deterministic_not_observed
High,16,0.6475113727588976,constructed_deterministic_not_observed
High,17,0.6475113727588976,constructed_deterministic_not_observed
High,18,0.6326598876103824,constructed_deterministic_not_observed
High,19,0.6326598876103824,constructed_deterministic_not_observed
High,20,0.6219561145303714,constructed_deterministic_not_observed
High,21,0.6219561145303714,constructed_deterministic_not_observed
High,22,0.6202167514048695,constructed_deterministic_not_observed
High,23,0.6196146641691191,constructed_deterministic_not_observed
High,24,0.6196146641691191,constructed_deterministic_not_observed
